trimestre;local;sexo;ocupados_k;informais_k;formais_k;taxa_informalidade
1º tri/2023;Brasil;Homem;54691,9;22179,1;32512,8;40,6
1º tri/2023;Brasil;Mulher;41286,1;15278,1;26008,1;37
1º tri/2023;Rio Grande do Norte;Homem;738,2;352,5;385,7;47,8
1º tri/2023;Rio Grande do Norte;Mulher;500,2;218;282,3;43,6
2º tri/2023;Brasil;Homem;55115,8;22341,4;32774,4;40,5
2º tri/2023;Brasil;Mulher;41921,9;15709,3;26212,6;37,5
2º tri/2023;Rio Grande do Norte;Homem;753,7;349;404,6;46,3
2º tri/2023;Rio Grande do Norte;Mulher;511,6;211,5;300,1;41,3
3º tri/2023;Brasil;Homem;55691,9;22510,2;33181,7;40,4
3º tri/2023;Brasil;Mulher;42246;15829,1;26416,9;37,5
3º tri/2023;Rio Grande do Norte;Homem;753,2;358,9;394,3;47,6
3º tri/2023;Rio Grande do Norte;Mulher;529,7;211,3;318,4;39,9
4º tri/2023;Brasil;Homem;56293,2;22759,1;33534,1;40,4
4º tri/2023;Brasil;Mulher;42768,7;16067;26701,8;37,6
4º tri/2023;Rio Grande do Norte;Homem;772,3;348,5;423,8;45,1
4º tri/2023;Rio Grande do Norte;Mulher;542,4;208,2;334,2;38,4
1º tri/2024;Brasil;Homem;56027,7;22601,3;33426,4;40,3
1º tri/2024;Brasil;Mulher;42262,8;15640,4;26622,3;37
1º tri/2024;Rio Grande do Norte;Homem;781,9;358,2;423,7;45,8
1º tri/2024;Rio Grande do Norte;Mulher;531,2;198,8;332,4;37,4
2º tri/2024;Brasil;Homem;56740,7;22743,5;33997,3;40,1
2º tri/2024;Brasil;Mulher;43142,7;15875,7;27267;36,8
2º tri/2024;Rio Grande do Norte;Homem;803,6;355,5;448;44,2
2º tri/2024;Rio Grande do Norte;Mulher;565,9;214,2;351,7;37,8
3º tri/2024;Brasil;Homem;57214,7;22976,3;34238,3;40,2
3º tri/2024;Brasil;Mulher;43843,7;16263,9;27579,7;37,1
3º tri/2024;Rio Grande do Norte;Homem;806,1;355,1;451;44,1
3º tri/2024;Rio Grande do Norte;Mulher;577,5;225,2;352,3;39
4º tri/2024;Brasil;Homem;57602,3;22971,1;34631,3;39,9
4º tri/2024;Brasil;Mulher;44229,6;16336,1;27893,5;36,9
4º tri/2024;Rio Grande do Norte;Homem;829,4;370,5;458,9;44,7
4º tri/2024;Rio Grande do Norte;Mulher;559,4;220;339,4;39,3
1º tri/2025;Brasil;Homem;57029,8;22526,5;34503,3;39,5
1º tri/2025;Brasil;Mulher;43481;15662,9;27818,1;36
1º tri/2025;Rio Grande do Norte;Homem;818,8;359,4;459,5;43,9
1º tri/2025;Rio Grande do Norte;Mulher;553,3;214,1;339,1;38,7
